Date,Time,File,Subj,Cond,Block,Trial,Order,Resp,Name,Stim,RT,Correct,Started@,LoadTime,TotalInt,Stim 1,Time 1,Stim 2,Time 2,Stim 3,Time 3,Stim 4,Time 4,Stim 5,Time 5,Stim 6,Time 6,Stim 7,Time 7,Stim 8,Time 8,
2023-03-15,16:47,C:\Users\N400 BCI\Desktop\N400_BCI_Direct_RT_2022\N400-BCI-DRTscript-v1.csv,004,1,-2,1,19.01,-1,-1,-1,-1,-1,128464,32,507,"252",0,"+ <1>",1459,"70",0,"doorknob.bmp",204,"245",0,"doorknob.wav",1200,
2023-03-15,16:47,C:\Users\N400 BCI\Desktop\N400_BCI_Direct_RT_2022\N400-BCI-DRTscript-v1.csv,004,1,-2,2,20.01,-1,-1,-1,-1,-1,131834,32,507,"252",0,"+ <1>",1034,"81",0,"fish.bmp",332,"246",0,"fish_foil.wav",1200,
2023-03-15,16:47,C:\Users\N400 BCI\Desktop\N400_BCI_Direct_RT_2022\N400-BCI-DRTscript-v1.csv,004,1,-2,3,21.01,-1,-1,-1,-1,-1,134907,31,506,"252",0,"+ <1>",1033,"223",0,"tree.bmp",301,"246",0,"tree_foil.wav",1196,
2023-03-15,16:47,C:\Users\N400 BCI\Desktop\N400_BCI_Direct_RT_2022\N400-BCI-DRTscript-v1.csv,004,1,-2,4,22.01,253,MOUSE-R,"7_respond.bmp",704,True,137943,39,506,"252",0,"+ <1>",761,"150",0,"peach.bmp",349,"246",0,"peach_foil.wav",1204,"253",0,"7_respond.bmp",708,
2023-03-15,16:47,C:\Users\N400 BCI\Desktop\N400_BCI_Direct_RT_2022\N400-BCI-DRTscript-v1.csv,004,1,-2,5,23.01,-1,-1,-1,-1,-1,141985,31,507,"252",0,"+ <1>",1040,"170",0,"recordplayer.bmp",228,"245",0,"recordplayer.wav",1195,
2023-03-15,16:47,C:\Users\N400 BCI\Desktop\N400_BCI_Direct_RT_2022\N400-BCI-DRTscript-v1.csv,004,1,-2,6,24.01,252,MOUSE-L,"7_respond.bmp",720,True,144955,38,506,"252",0,"+ <1>",1476,"75",0,"ear.bmp",246,"245",0,"ear.wav",1204,"253",0,"7_respond.bmp",726,
2023-03-15,16:47,C:\Users\N400 BCI\Desktop\N400_BCI_Direct_RT_2022\N400-BCI-DRTscript-v1.csv,004,1,-2,7,25.01,-1,-1,-1,-1,-1,149628,31,507,"252",0,"+ <1>",1490,"114",0,"kangaroo.bmp",277,"245",0,"kangaroo.wav",1199,
2023-03-15,16:47,C:\Users\N400 BCI\Desktop\N400_BCI_Direct_RT_2022\N400-BCI-DRTscript-v1.csv,004,1,-2,8,26.01,-1,-1,-1,-1,-1,153101,31,507,"252",0,"+ <1>",1015,"219",0,"toothbrush.bmp",246,"246",0,"toothbrush_foil.wav",1195,
2023-03-15,16:47,C:\Users\N400 BCI\Desktop\N400_BCI_Direct_RT_2022\N400-BCI-DRTscript-v1.csv,004,1,-2,9,27.01,253,MOUSE-R,"7_respond.bmp",1293,True,156064,37,507,"252",0,"+ <1>",755,"17",0,"baseballbat.bmp",260,"246",0,"baseballbat_foil.wav",1204,"253",0,"7_respond.bmp",1299,
2023-03-15,16:47,C:\Users\N400 BCI\Desktop\N400_BCI_Direct_RT_2022\N400-BCI-DRTscript-v1.csv,004,1,-2,10,28.01,-1,-1,-1,-1,-1,160604,31,507,"252",0,"+ <1>",1452,"196",0,"spinningwheel.bmp",259,"246",0,"spinningwheel_foil.wav",1200,
2023-03-15,16:47,C:\Users\N400 BCI\Desktop\N400_BCI_Direct_RT_2022\N400-BCI-DRTscript-v1.csv,004,1,-2,11,29.01,253,MOUSE-R,"7_respond.bmp",552,True,164022,36,506,"252",0,"+ <1>",1101,"231",0,"wagon.bmp",283,"246",0,"wagon_foil.wav",1203,"253",0,"7_respond.bmp",555,
2023-03-15,16:47,C:\Users\N400 BCI\Desktop\N400_BCI_Direct_RT_2022\N400-BCI-DRTscript-v1.csv,004,1,-2,12,30.01,252,MOUSE-L,"7_respond.bmp",932,True,168186,37,508,"252",0,"+ <1>",1446,"166",0,"pumpkin.bmp",295,"245",0,"pumpkin.wav",1204,"253",0,"7_respond.bmp",934,
2023-03-15,16:47,C:\Users\N400 BCI\Desktop\N400_BCI_Direct_RT_2022\N400-BCI-DRTscript-v1.csv,004,1,-2,13,31.01,253,MOUSE-R,"7_respond.bmp",726,True,173089,36,506,"252",0,"+ <1>",943,"37",0,"bus.bmp",336,"246",0,"bus_foil.wav",1204,"253",0,"7_respond.bmp",726,
2023-03-15,16:47,C:\Users\N400 BCI\Desktop\N400_BCI_Direct_RT_2022\N400-BCI-DRTscript-v1.csv,004,1,-2,14,32.01,-1,-1,-1,-1,-1,177319,32,507,"252",0,"+ <1>",775,"40",0,"cake.bmp",228,"245",0,"cake.wav",1199,
2023-03-15,16:47,C:\Users\N400 BCI\Desktop\N400_BCI_Direct_RT_2022\N400-BCI-DRTscript-v1.csv,004,1,-2,15,33.01,252,MOUSE-L,"7_respond.bmp",888,True,180028,37,507,"252",0,"+ <1>",859,"194",0,"socks.bmp",350,"245",0,"socks.wav",1203,"253",0,"7_respond.bmp",894,
2023-03-15,16:47,C:\Users\N400 BCI\Desktop\N400_BCI_Direct_RT_2022\N400-BCI-DRTscript-v1.csv,004,1,-2,16,34.01,252,MOUSE-L,"7_respond.bmp",892,True,184355,37,506,"252",0,"+ <1>",1222,"133",0,"monkey.bmp",216,"245",0,"monkey.wav",1204,"253",0,"7_respond.bmp",895,
2023-03-15,16:47,C:\Users\N400 BCI\Desktop\N400_BCI_Direct_RT_2022\N400-BCI-DRTscript-v1.csv,004,1,-3,1,36.01,253,MOUSE-R,"7_respond.bmp",800,True,205986,38,507,"252",0,"+ <1>",1052,"239",0,"wineglass.bmp",222,"246",0,"wineglass_foil.wav",1204,"253",0,"7_respond.bmp",803,
